transcript,label
"Your bank account has been compromised. Please kindly share the OTP immediately to unblock your debit card.",1
"This is official tax authority calling. Arrest warrant issued for unpaid tax fine. Pay $500 via Google Pay card immediately.",1
"Congratulations! You won grand lottery prize of $100000. Pay $200 processing fee to claim your cash reward.",1
"We detected virus on your computer. Download AnyDesk software and share your card PIN for technician inspection.",1
"Your credit card limit is doubled. Please verify your 16 digit card number and CVV on the phone call.",1
"Electricity bill payment overdue! Connection will be cut off in 30 minutes. Pay now via immediate UPI link.",1
"Hello sir, your parcel is stuck in customs duty. Transfer money to official clearance account now or face police action.",1
"Urgent account verification required. Provide your net banking password to prevent account termination.",1
"Your KYC is expired. Click the link sent to your phone or share the 6 digit secret verification code.",1
"Customer support calling from Amazon. A refund of $499 is approved. Share your bank credentials to process refund.",1
"Your son has been arrested in traffic accident. Pay bail money immediately via digital transfer to release him.",1
"Urgent security alert. Send OTP immediately or your SIM card will be deactivated within 1 hour.",1
"Free gift voucher worth $500! Confirm your bank account number and secret PIN to redeem voucher immediately.",1
"This is law enforcement department calling. Your national ID is involved in money laundering. Transfer funds for safety.",1
"Immediate action required. Update your bank mobile banking app password using secret code received on SMS.",1
"Hello sir, I am calling from telecom department. Your mobile connection will be blocked unless you verify your Aadhaar number now.",1
"Your online shopping transaction of $850 failed. To get instant credit back, please confirm your card security code.",1
"Alert: Insurance policy bonus amount of $12000 is released. Pay nominal documentation charge to receive bank transfer.",1
"This is police station cyber cell. We found illegal activity on your IP address. Pay fine online to avoid court summons.",1
"Greetings! You have been selected for work from home job earning $500 daily. Pay registration fee of $50 to begin assignment.",1
"Warning: Suspicious login attempt on your bank app from overseas. Share your OTP code with officer to secure account.",1
"Hey there, we noticed an inquiry regarding your account upgrade. Could you confirm your registered mobile number and security pin when convenient?",1
"Hello, I am calling to confirm your dental appointment for tomorrow at 10 AM. Please let us know if you need to reschedule.",0
"Hi Mom, I will be reaching home by 7 PM today. Please keep dinner ready.",0
"Good morning sir, your Amazon delivery package has been delivered to your doorstep. Have a nice day.",0
"Hey John, let's meet at the library at 3 PM to work on our university group project presentation.",0
"Hello, this is Dr. Smith's office calling to remind you of your routine health checkup next Monday.",0
"Hi Alex, can you review the financial project spreadsheet I sent over email when you have time?",0
"Good afternoon, your car service is complete and ready for pickup at our service station.",0
"Hey, are we still meeting for lunch at the cafeteria today?",0
"Hello team, our weekly status meeting will start in 10 minutes on Google Meet.",0
"Hi dear, don't forget to buy milk and groceries on your way back from office.",0
"Hello, calling from ABC Telecom to inform you that your monthly broadband bill receipt has been emailed.",0
"Hi Sarah, happy birthday! Hope you have a fantastic day celebrating with family.",0
"Good morning, your flight booking confirmation has been processed. Have a safe trip.",0
"Hello, I am calling regarding your recent order inquiry. All items are in stock and ready to ship.",0
"Hi Dave, the client presentation went very well today. Let's debrief tomorrow morning during coffee break.",0
"Good day, this is your apartment society office. Water maintenance work is scheduled for this Thursday between 2 PM and 4 PM.",0
"Hey buddy, do you have the notes from yesterday's computer science lecture? Please forward on WhatsApp.",0
"Hello, calling from HDFC Bank to inform you that your monthly bank e-statement is ready for download in netbanking.",0
"Hi Mark, your laundry is ready for pickup at the counter. Thank you for choosing our service.",0
"Good evening, your table reservation for 4 people at Olive Garden has been confirmed for 8 PM tonight.",0
"Hello, your lab test results are ready and uploaded to your patient portal. No immediate action is required.",0
"Hi, this is your tutor calling to check if we can shift today's math class to 5 PM instead of 4 PM.",0
"Good morning, your dry cleaning package is out for delivery with our courier partner.",0
"Hey mom, I reached the train station safely. Will catch a cab now.",0
"Hello, your application for the university workshop has been received. Confirmation email sent.",0
"Hi John, reminding you to submit the library book by tomorrow to avoid late return fee.",0
"Hi team, urgent reminder: please submit your monthly project status report before 5 PM today for management review.",0
